tract_geoid,walk_block_group_count,walk_tot_pop,walk_households,walk_housing_units,walk_workers,walk_land_acres,nat_walk_index,d2a_jobs_housing_mix,d2b_employment_mix,d3b_intersection_density,d4a_commute_mode_split,d2a_ranked,d2b_ranked,d3b_ranked,d4a_ranked
06073000100,2.0,3250.0,1342.0,1387.0,1234.0,380.8935305,14.74056135121709,0.3062638799239278,0.5441481029721071,159.97242558810552,236.99438152011925,5.226527570789866,10.763785394932937,17.556631892697467,18.6698956780924
06073000201,1.0,1915.0,1019.0,1120.0,940.0,213.5465381,18.0,0.7109395986734754,0.854992428565709,133.88519549125857,194.46,16.0,20.0,17.0,19.0
06073000202,3.0,4583.0,2340.0,2468.0,2348.0,322.7126,15.5730056980057,0.4672381236591172,0.6707472678198502,160.3063119748492,298.26909829059827,9.37948717948718,14.026923076923078,17.648717948717948,17.36709401709402
06073000300,5.0,5094.0,2843.0,3193.0,2502.0,222.0840902,15.526556454449524,0.5693150862652285,0.527949850135232,150.21152098907112,217.1867534294759,12.260640168835737,9.77664438972916,16.910306014773127,18.650721069293
06073000400,3.0,3758.0,2024.0,2390.0,2144.0,290.9486363,12.90250329380764,0.417204284967943,0.3076410684544324,120.99817774295568,370.7175296442688,8.0098814229249,5.488142292490118,15.33201581027668,16.626482213438734
06073000500,3.0,3271.0,1686.0,1752.0,1729.0,272.0494399,13.40381573744563,0.3714775922015709,0.6759763294919623,119.09447897470795,493.0658303677343,6.6020166073546855,14.536180308422301,13.7858837485172,15.856465005931199
06073000600,3.0,3446.0,1850.0,2037.0,1803.0,232.40273910000002,14.275225225225226,0.49405228430913667,0.5221968346638974,129.88498423467553,501.6403675675676,10.648108108108108,11.20972972972973,16.125405405405406,15.77135135135135
06073000700,3.0,4593.0,2428.0,2571.0,2214.0,192.7481311,15.736133992311915,0.4804719999533627,0.7030222386093151,158.50774892111286,312.4663097199341,9.764415156507413,15.367380560131796,17.039538714991764,17.60296540362438
06073000800,4.0,5026.0,2602.0,2808.0,2349.0,156.63199509999998,14.274532410965925,0.25346519677593793,0.572137528773608,191.36823449048282,404.0515526518063,4.006533435818601,11.325518831667948,18.59185242121445,16.565718677940048
06073000900,6.0,5578.0,3115.0,3318.0,2984.0,153.6176222,14.63451043338684,0.4025406107580142,0.47112348920272706,176.17869481685184,299.1949919743178,7.634349919743178,8.435955056179775,18.13290529695024,17.735473515248795
06073001000,4.0,4677.0,2532.0,2770.0,2800.0,209.8160694,15.429568193786203,0.40468141896868765,0.6821130065770369,166.41336853051985,354.63855450236963,7.996445497630332,14.828199052132701,17.89652448657188,16.979857819905213
06073001100,3.0,3238.0,1683.0,1861.0,1902.0,231.27423339999999,15.602198455139632,0.5915696971293559,0.6964134526541504,100.24643852153477,221.42529411764707,12.976827094474153,15.502673796791443,13.711229946524064,18.855614973262032
06073001200,4.0,6186.0,3018.0,3235.0,3008.0,169.46290969999998,14.662414402474047,0.3829252054700943,0.6709453439252061,125.57450741002351,338.668492379059,7.209741550695825,14.138502319416832,16.103711066931744,17.20941020543406
