GEOID,NAMELSAD,tract_area_sq_mile,transit_stop_count,transit_stops_per_sq_mile,has_transit_access,large_tract_flag
06073008331,Census Tract 83.31,0.36840345730769175,0,0.0,0,0
06073008336,Census Tract 83.36,0.3198919877938447,0,0.0,0,0
06073008337,Census Tract 83.37,0.6071503968242674,0,0.0,0,0
06073011601,Census Tract 116.01,0.28330019374910725,10,35.29824624425098,1,0
06073011602,Census Tract 116.02,0.3937171430795924,13,33.01862829318552,1,0
06073011700,Census Tract 117,0.6296590211261099,34,53.997479364613724,1,0
06073011801,Census Tract 118.01,0.2516943762601628,14,55.62301473724213,1,0
06073013307,Census Tract 133.07,0.5051382907925305,12,23.755870855034072,1,0
06073013308,Census Tract 133.08,0.6212951739343063,3,4.828622731772917,1,0
06073013309,Census Tract 133.09,0.9757768107404379,14,14.347543255692392,1,0
06073013312,Census Tract 133.12,0.34160209267361147,4,11.709530139857359,1,0
06073008343,Census Tract 83.43,0.2957861740652942,5,16.904103161009342,1,0
06073008344,Census Tract 83.44,0.7870354283763796,3,3.811772496936855,1,0
06073008345,Census Tract 83.45,0.7383220299851507,2,2.708845082192962,1,0
06073013401,Census Tract 134.01,0.8687766196664825,2,2.302087734322071,1,0
06073013409,Census Tract 134.09,1.0530269965130443,4,3.798573078606205,1,0
06073015601,Census Tract 156.01,0.6266620377352354,4,6.383025872216627,1,0
06073015701,Census Tract 157.01,0.3711723695598311,11,29.63582664583781,1,0
06073008348,Census Tract 83.48,0.7715146001120723,4,5.184607004739702,1,0
06073008349,Census Tract 83.49,0.37057669609898886,8,21.587973783065493,1,0
06073008351,Census Tract 83.51,0.40912870221948744,4,9.776874558788835,1,0
06073008352,Census Tract 83.52,0.26871543830414174,5,18.60704405952598,1,0
06073008353,Census Tract 83.53,0.7547151309482859,0,0.0,0,0
06073015801,Census Tract 158.01,0.24222323832045364,3,12.385269145940057,1,0
06073015901,Census Tract 159.01,0.1499886071124734,5,33.3358652784248,1,0
06073015902,Census Tract 159.02,0.42739349492878764,5,11.698821014655595,1,0
06073016000,Census Tract 160,0.72004851786356,17,23.609520161836212,1,0
06073008355,Census Tract 83.55,0.3452679692369147,0,0.0,0,0
06073008356,Census Tract 83.56,0.23389941600021305,3,12.826026038462906,1,0
06073008357,Census Tract 83.57,0.35288362966774206,7,19.83656767130529,1,0
06073008358,Census Tract 83.58,0.72766931112175,26,35.73051604982391,1,0
06073008359,Census Tract 83.59,0.4299640622184596,16,37.21241239894741,1,0
06073016401,Census Tract 164.01,0.9059633091236341,11,12.141772066509663,1,0
06073016100,Census Tract 161,1.0937544173211362,5,4.571410108903775,1,0
06073016202,Census Tract 162.02,2.582465654241712,25,9.680670857688806,1,0
06073016301,Census Tract 163.01,0.41195650937208733,7,16.992084942824537,1,0
06073016302,Census Tract 163.02,0.4597942940746201,6,13.049313741649563,1,0
06073003209,Census Tract 32.09,0.5084141735288776,6,11.801401912842627,1,0
06073003211,Census Tract 32.11,0.33118547104694596,1,3.019456127827083,1,0
06073003212,Census Tract 32.12,0.4856318325616578,9,18.532557786679526,1,0
06073003213,Census Tract 32.13,0.46219689989982016,2,4.3271601355039255,1,0
06073008360,Census Tract 83.60,1.0756300779206271,16,14.875002408756249,1,0
06073008502,Census Tract 85.02,1.227939425926469,15,12.215586276727484,1,0
06073008504,Census Tract 85.04,1.165099331282937,17,14.59103060447269,1,0
06073008505,Census Tract 85.05,1.1400911537172258,8,7.016982785908207,1,0
06073016502,Census Tract 165.02,0.8119496779549065,8,9.852827357663289,1,0
06073017104,Census Tract 171.04,0.8474855460396866,6,7.079766761849916,1,0
06073017107,Census Tract 171.07,0.7288445822688211,6,8.232207724344459,1,0
06073003214,Census Tract 32.14,0.47961758069945803,4,8.339977851034016,1,0
06073003301,Census Tract 33.01,0.5888310321560444,19,32.26732111999978,1,0
06073003303,Census Tract 33.03,0.2404552854144271,8,33.270218977353395,1,0
06073003403,Census Tract 34.03,0.5343131429845253,8,14.972493387144128,1,0
06073008506,Census Tract 85.06,0.4980461619644215,10,20.078460118149373,1,0
06073008507,Census Tract 85.07,0.8637728987769262,7,8.103981972474209,1,0
06073008509,Census Tract 85.09,0.753981988114323,9,11.936624669918997,1,0
06073008510,Census Tract 85.10,0.7836147436803226,10,12.76137295864806,1,0
06073008512,Census Tract 85.12,0.8034182889954756,2,2.4893632960492176,1,0
06073017108,Census Tract 171.08,0.8107122419949057,6,7.400899714103124,1,0
06073017303,Census Tract 173.03,1.3252469119735042,12,9.054916402053776,1,0
06073003404,Census Tract 34.04,0.6450622608696782,28,43.40666273399744,1,0
06073003501,Census Tract 35.01,0.45874524464071953,16,34.8777457356117,1,0
06073003502,Census Tract 35.02,0.3012154283535477,9,29.878947599710486,1,0
06073003602,Census Tract 36.02,0.2538315291175083,5,19.69810455534588,1,0
06073003603,Census Tract 36.03,0.26166392214604234,3,11.465088405751297,1,0
06073008513,Census Tract 85.13,0.5776205274824083,4,6.9249616481502585,1,0
06073008600,Census Tract 86,1.0311820366960538,6,5.818565283802099,1,0
06073008701,Census Tract 87.01,0.64978668164614,12,18.467599196708292,1,0
06073008702,Census Tract 87.02,1.0407694692490663,23,22.099034108480247,1,0
06073017305,Census Tract 173.05,1.623463847407162,0,0.0,0,0
06073018621,Census Tract 186.21,0.23204856997588047,12,51.71331157631052,1,0
06073009108,Census Tract 91.08,0.5994116479917717,18,30.029446475232813,1,0
06073017069,Census Tract 170.69,0.380011780382667,3,7.894492104900113,1,0
06073003800,Census Tract 38,1.2271059182028226,13,10.59403251761621,1,0
06073003901,Census Tract 39.01,0.24770668699426782,9,36.33329446696879,1,0
06073003902,Census Tract 39.02,0.45255782799621236,15,33.14493545811684,1,0
06073004000,Census Tract 40,0.33056405751680346,11,33.27645504666169,1,0
06073008800,Census Tract 88,0.5640969527923657,11,19.500193974720705,1,0
06073008901,Census Tract 89.01,0.5015825676828956,10,19.936897022151054,1,0
06073018201,Census Tract 182.01,0.3744268767839653,12,32.048981374068646,1,0
06073018101,Census Tract 181.01,0.483426580631647,3,6.205699314423689,1,0
06073017202,Census Tract 172.02,1.1844960500768031,5,4.221204452033249,1,0
06073018302,Census Tract 183.02,0.16001028428819578,0,0.0,0,0
06073017068,Census Tract 170.68,1.2566967729995573,2,1.5914738089334655,1,0
06073013325,Census Tract 133.25,0.3934213604892561,4,10.167216124273546,1,0
06073013318,Census Tract 133.18,0.6292420946999734,2,3.1784268993535987,1,0
06073013317,Census Tract 133.17,6.665388097810868,5,0.7501438665877781,1,0
06073015407,Census Tract 154.07,0.319192956858538,4,12.531604830405911,1,0
06073008367,Census Tract 83.67,0.718513032474238,0,0.0,0,0
06073010017,Census Tract 100.17,1.1148527883691972,9,8.072814719479842,1,0
06073007304,Census Tract 73.04,0.30604247761272846,4,13.070081092016483,1,0
06073005602,Census Tract 56.02,2.0618111223824607,10,4.8501047896399045,1,0
06073001301,Census Tract 13.01,0.13597359933427577,10,73.5436882524241,1,0
06073021306,Census Tract 213.06,14.626022054982124,4,0.27348516123954997,1,1
06073013319,Census Tract 133.19,2.959006383204357,5,1.6897564089014965,1,0
06073013324,Census Tract 133.24,0.15629485774027016,4,25.592652617190872,1,0
06073009000,Census Tract 90,0.4756182891422922,6,12.615158283379134,1,0
