GEOID,NAMELSAD,school_count,elementary_school_count,middle_school_count,high_school_count,other_school_count,charter_school_count,tract_area_sq_mile,schools_per_sq_mile,district_name,district_type,district_grade_low,district_grade_high,district_overlap_pct,ela_students_tested,ela_current_status,ela_status_level,ela_change,ela_change_level,math_students_tested,math_current_status,math_status_level,math_change,math_change_level,academic_strength_score,academic_strength_tier
06073008355,Census Tract 83.55,1,1,0,0,0,0,0.3452832618634886,2.896172825184212,San Diego Unified,Unified,PK,12,0.9999999999999998,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008356,Census Tract 83.56,0,0,0,0,0,0,0.2339097293617424,0.0,San Diego Unified,Unified,PK,12,1.0000000000000022,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008357,Census Tract 83.57,0,0,0,0,0,0,0.3528987899262524,0.0,San Diego Unified,Unified,PK,12,1.0,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008358,Census Tract 83.58,4,2,1,1,0,0,0.7276993754514454,5.496775364852424,San Diego Unified,Unified,PK,12,1.0000000000000004,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008359,Census Tract 83.59,0,0,0,0,0,0,0.42998185968596236,0.0,San Diego Unified,Unified,PK,12,1.0000000000000004,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073016401,Census Tract 164.01,3,1,1,0,1,2,0.9059759566585808,3.3113461543334943,Cajon Valley Union,Elementary,PK,12,0.9999999999999998,9545,-51.1,2,2.4,3,9748,-82.4,2,-1.4,3,2.0,lower
06073016100,Census Tract 161,1,1,0,0,0,0,1.093764722154605,0.9142734079319197,Grossmont Union High,High,KG,12,1.0000000000000022,3527,-1.8,2,5.6,4,3517,-86.7,2,3.1,4,2.0,lower
06073016202,Census Tract 162.02,2,1,0,1,0,1,2.5825023086428978,0.7744426765105189,Grossmont Union High,High,KG,12,1.0000000000000009,3527,-1.8,2,5.6,4,3517,-86.7,2,3.1,4,2.0,lower
06073016301,Census Tract 163.01,1,0,1,0,0,0,0.4119608228165874,2.4274152895485854,Cajon Valley Union,Elementary,PK,12,0.9999999999999998,9545,-51.1,2,2.4,3,9748,-82.4,2,-1.4,3,2.0,lower
06073016302,Census Tract 163.02,1,1,0,0,0,0,0.4597992371257944,2.1748622425974458,Cajon Valley Union,Elementary,PK,12,1.0000000000000002,9545,-51.1,2,2.4,3,9748,-82.4,2,-1.4,3,2.0,lower
06073003209,Census Tract 32.09,2,1,1,0,0,0,0.5083978030641424,3.9339273064239983,San Diego Unified,Unified,PK,12,0.9988786112363984,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003211,Census Tract 32.11,0,0,0,0,0,0,0.3311740203769622,0.0,San Diego Unified,Unified,PK,12,1.0000000000000007,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003212,Census Tract 32.12,1,1,0,0,0,0,0.4856135031399221,2.0592508106428524,San Diego Unified,Unified,PK,12,0.9989303135458171,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003213,Census Tract 32.13,0,0,0,0,0,0,0.46218290211029756,0.0,San Diego Unified,Unified,PK,12,0.9992471074075215,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008360,Census Tract 83.60,0,0,0,0,0,0,1.0756716830223474,0.0,San Diego Unified,Unified,PK,12,0.9999999999999984,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008502,Census Tract 85.02,1,1,0,0,0,0,1.2279653307721892,0.8143552386541432,San Diego Unified,Unified,PK,12,1.0000000000000004,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008504,Census Tract 85.04,3,1,0,0,2,0,1.1651186833111282,2.5748449861557092,San Diego Unified,Unified,PK,12,1.0,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008505,Census Tract 85.05,3,1,2,0,0,0,1.1401162371501548,2.6313106525864662,San Diego Unified,Unified,PK,12,1.0000000000000002,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073016502,Census Tract 165.02,0,0,0,0,0,0,0.8119611065353675,0.0,Grossmont Union High,High,KG,12,1.0,3527,-1.8,2,5.6,4,3517,-86.7,2,3.1,4,2.0,lower
06073017104,Census Tract 171.04,1,1,0,0,0,0,0.8475457857944684,1.1798772606280201,Encinitas Union Elementary,Elementary,KG,06,1.0000000000000002,2514,46.9,5,2.8,3,2513,31.9,4,0.1,3,4.5,high
06073017107,Census Tract 171.07,1,0,1,0,0,0,0.7288980852887936,1.3719339098055034,Encinitas Union Elementary,Elementary,KG,06,0.9999999999999999,2514,46.9,5,2.8,3,2513,31.9,4,0.1,3,4.5,high
06073003214,Census Tract 32.14,0,0,0,0,0,0,0.4796041755392089,0.0,San Diego Unified,Unified,PK,12,0.6954804092463491,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003301,Census Tract 33.01,0,0,0,0,0,0,0.5888164351597198,0.0,San Diego Unified,Unified,PK,12,0.9999999999999989,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003303,Census Tract 33.03,0,0,0,0,0,0,0.24044840197100195,0.0,San Diego Unified,Unified,PK,12,0.9993252771993864,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003403,Census Tract 34.03,0,0,0,0,0,0,0.5343021153807276,0.0,San Diego Unified,Unified,PK,12,1.0000000000000002,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008506,Census Tract 85.06,1,0,0,0,1,1,0.4980556051586602,2.0078079428128124,San Diego Unified,Unified,PK,12,1.0000000000000009,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008507,Census Tract 85.07,3,2,0,1,0,0,0.8637882309403284,3.4730734832242045,San Diego Unified,Unified,PK,12,0.9999999999999993,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008509,Census Tract 85.09,2,2,0,0,0,1,0.7539927110846146,2.652545536047703,San Diego Unified,Unified,PK,12,1.0000000000000007,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008510,Census Tract 85.10,2,1,0,1,0,0,0.7836242376345266,2.552243669794166,San Diego Unified,Unified,PK,12,1.0000000000000002,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008512,Census Tract 85.12,1,1,0,0,0,0,0.8034282843692847,1.2446661630602538,San Diego Unified,Unified,PK,12,0.9999999999999989,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073017108,Census Tract 171.08,1,1,0,0,0,0,0.8107704188373248,1.233394777073931,Encinitas Union Elementary,Elementary,KG,06,0.9999999999999993,2514,46.9,5,2.8,3,2513,31.9,4,0.1,3,4.5,high
06073017303,Census Tract 173.03,1,1,0,0,0,0,1.3253294879067803,0.7545293522287773,San Dieguito Union High,High,07,12,0.9005047015739069,5480,80.1,5,8.2,4,5473,56.8,5,5.8,4,5.0,high
06073003404,Census Tract 34.04,5,2,1,1,1,2,0.6450490239317789,7.7513488347341575,San Diego Unified,Unified,PK,12,0.9999999999999999,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003501,Census Tract 35.01,0,0,0,0,0,0,0.4587344664396074,0.0,San Diego Unified,Unified,PK,12,0.9999999999999998,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003502,Census Tract 35.02,2,2,0,0,0,0,0.3012074885029059,6.639941157972588,San Diego Unified,Unified,PK,12,1.0000000000000002,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003602,Census Tract 36.02,1,1,0,0,0,0,0.253824284076238,3.9397333617599903,San Diego Unified,Unified,PK,12,1.0000000000000002,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003603,Census Tract 36.03,1,1,0,0,0,0,0.26165581113461506,3.8218146031754907,San Diego Unified,Unified,PK,12,0.9981840584948941,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008513,Census Tract 85.13,4,1,1,1,1,3,0.5776266274384104,6.924888517931942,San Diego Unified,Unified,PK,12,0.9999999999999992,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008600,Census Tract 86,3,2,1,0,0,1,1.0311887042254237,2.9092638308654153,San Diego Unified,Unified,PK,12,0.9999999999999998,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008701,Census Tract 87.01,5,1,0,4,0,0,0.649792395737199,7.694765332437334,San Diego Unified,Unified,PK,12,1.0000000000000002,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008702,Census Tract 87.02,2,1,0,0,1,0,1.0407754115561223,1.9216441681781151,San Diego Unified,Unified,PK,12,1.0000000000000004,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073017305,Census Tract 173.05,1,1,0,0,0,0,1.6235654717129118,0.6159283487009422,San Dieguito Union High,High,07,12,1.0,5480,80.1,5,8.2,4,5473,56.8,5,5.8,4,5.0,high
06073018621,Census Tract 186.21,0,0,0,0,0,0,0.2320699171261573,0.0,Oceanside Unified,Unified,PK,12,0.9999999999999994,7087,-25.4,2,4.4,4,7087,-56.3,2,5.1,4,2.0,lower
06073009108,Census Tract 91.08,0,0,0,0,0,0,0.5994114211155633,0.0,San Diego Unified,Unified,PK,12,0.9999999999999997,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073017069,Census Tract 170.69,1,1,0,0,0,0,0.3800357252506929,2.631331565842511,Poway Unified,Unified,PK,12,1.0,17379,56.5,5,0.8,3,17419,39.8,5,2.6,3,5.0,high
06073003800,Census Tract 38,0,0,0,0,0,0,1.2270667814093277,0.0,San Diego Unified,Unified,PK,12,0.5490497943512224,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003901,Census Tract 39.01,0,0,0,0,0,0,0.2477006275602313,0.0,San Diego Unified,Unified,PK,12,0.9999999999999994,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073003902,Census Tract 39.02,2,1,0,0,1,0,0.4525455939683624,4.419444198897273,San Diego Unified,Unified,PK,12,0.9957843096179617,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073004000,Census Tract 40,2,2,0,0,0,1,0.330556622084314,6.0504006466095435,San Diego Unified,Unified,PK,12,0.9999999999999994,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008800,Census Tract 88,0,0,0,0,0,0,0.5640990062456055,0.0,San Diego Unified,Unified,PK,12,0.9999999999999989,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008901,Census Tract 89.01,2,1,0,0,1,0,0.5015827644271249,3.9873778403934383,San Diego Unified,Unified,PK,12,0.9999999999999994,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073018201,Census Tract 182.01,2,0,0,1,1,0,0.37446031309612937,5.34101994271038,Oceanside Unified,Unified,PK,12,0.9999999999999989,7087,-25.4,2,4.4,4,7087,-56.3,2,5.1,4,2.0,lower
06073018101,Census Tract 181.01,1,1,0,0,0,0,0.483469468176371,2.06838294002714,Oceanside Unified,Unified,PK,12,1.0000000000000009,7087,-25.4,2,4.4,4,7087,-56.3,2,5.1,4,2.0,lower
06073017202,Census Tract 172.02,0,0,0,0,0,0,1.1845612427371492,0.0,San Dieguito Union High,High,07,12,1.0000000000000004,5480,80.1,5,8.2,4,5473,56.8,5,5.8,4,5.0,high
