geo_id,tract_name,total_population,population_under_5,population_under_5_rate,population_under_18,population_under_18_rate,population_65_plus,median_age,hispanic_latino_population,hispanic_latino_rate,total_households,households_with_children,households_with_seniors,avg_household_size,avg_family_size,school_enrolled_population,elementary_school_enrollment,high_school_enrollment,bachelors_or_higher,median_household_income,mean_household_income,poverty_rate,family_poverty_rate,employed_population,unemployed_population,unemployment_rate,drove_alone_count,drove_alone_rate,public_transit_commute_count,public_transit_commute_rate,work_from_home_count,work_from_home_rate,total_housing_units,occupied_housing_units,vacant_housing_units,vacancy_rate,owner_occupied_units,renter_occupied_units,renter_rate,vehicle_households,no_vehicle_households,no_vehicle_rate,one_vehicle_households,two_vehicle_households,three_plus_vehicle_households,median_gross_rent,rent_burden_30_34_count,rent_burden_35_plus_count,tract_type_flag
1400000US06073003401,Census Tract 34.01; San Diego County; California,6109,203,3.3,554,9.1,1356,38.9,1647,27.0,2023,406,707,2.96,3.22,1074,179,144,1447,83108.0,102937.0,9.9,5.3,2797,334,6.0,2156,69.2,0,0.0,606,19.4,2158,2023,135,6.3,1166,857,42.4,2023,156,7.7,595,745,527,1958.0,52,441,residential_or_mixed
1400000US06073003403,Census Tract 34.03; San Diego County; California,3416,150,4.4,625,18.3,491,39.6,2735,80.1,999,329,324,3.42,3.47,930,324,219,204,75550.0,81950.0,14.2,13.3,1519,59,2.1,1250,78.1,47,2.9,85,5.3,1094,999,95,8.7,437,562,56.3,999,48,4.8,315,232,404,2147.0,72,263,residential_or_mixed
1400000US06073003404,Census Tract 34.04; San Diego County; California,4586,119,2.6,1136,24.8,470,32.2,2943,64.2,1131,567,331,4.02,4.26,1654,651,388,316,79795.0,101447.0,5.8,0.0,2355,204,5.5,1737,74.3,82,3.5,28,1.2,1241,1131,110,8.9,316,815,72.1,1131,71,6.3,298,273,489,1903.0,81,402,residential_or_mixed
1400000US06073003501,Census Tract 35.01; San Diego County; California,3447,125,3.6,774,22.5,245,29.8,2950,85.6,1004,371,254,3.43,3.89,1006,360,195,262,61722.0,83974.0,18.1,15.7,1547,203,7.4,960,62.1,87,5.6,50,3.2,1144,1004,140,12.2,442,562,56.0,1004,99,9.9,223,256,426,1770.0,0,329,residential_or_mixed
1400000US06073003502,Census Tract 35.02; San Diego County; California,4637,197,4.2,1008,21.7,1038,40.8,4185,90.3,1188,519,477,3.88,4.23,1017,404,294,314,55556.0,68191.0,26.5,28.6,1767,319,8.4,953,56.1,202,11.9,158,9.3,1273,1188,85,6.7,357,831,69.9,1188,127,10.7,310,419,332,1591.0,42,378,residential_or_mixed
1400000US06073003601,Census Tract 36.01; San Diego County; California,3151,187,5.9,1008,32.0,189,32.6,2999,95.2,749,429,146,4.2,4.55,1025,417,309,206,85430.0,103432.0,13.8,10.5,1388,147,6.2,695,53.4,132,10.1,115,8.8,793,749,44,5.5,304,445,59.4,749,117,15.6,131,247,254,1670.0,13,150,residential_or_mixed
1400000US06073003602,Census Tract 36.02; San Diego County; California,3383,282,8.3,1074,31.7,260,29.6,2474,73.1,840,507,197,3.9,3.98,1027,329,325,225,66037.0,81668.0,14.0,9.1,1331,107,4.3,849,62.7,228,16.9,84,6.2,884,840,44,5.0,234,606,72.1,840,67,8.0,298,278,197,1663.0,52,277,residential_or_mixed
1400000US06073003603,Census Tract 36.03; San Diego County; California,3281,159,4.8,765,23.3,371,38.1,2593,79.0,984,331,253,3.27,3.44,927,281,306,172,73333.0,81059.0,23.1,15.9,1654,161,6.0,1309,81.2,46,2.9,54,3.3,1034,984,50,4.8,295,689,70.0,984,84,8.5,306,372,222,1849.0,109,319,residential_or_mixed
1400000US06073003800,Census Tract 38; San Diego County; California,4573,0,0.0,0,0.0,0,23.7,929,20.3,15,0,0,,,427,0,17,596,,,0.0,,304,0,0.0,1668,38.0,356,8.1,135,3.1,27,15,12,44.4,0,15,100.0,15,15,100.0,0,0,0,,0,15,likely_institutional_or_group_quarters
1400000US06073003901,Census Tract 39.01; San Diego County; California,4213,386,9.2,1121,26.6,286,30.8,3842,91.2,1070,494,214,3.94,4.19,1126,362,433,198,73324.0,87398.0,21.2,18.3,2043,152,4.7,1233,59.7,207,10.0,80,3.9,1085,1070,15,1.4,339,731,68.3,1070,95,8.9,312,369,294,1865.0,31,322,residential_or_mixed
1400000US06073003902,Census Tract 39.02; San Diego County; California,3786,284,7.5,904,23.9,439,36.0,3094,81.7,1366,469,306,2.77,3.61,873,379,192,370,46875.0,61841.0,15.6,13.5,1922,84,2.7,1341,68.9,192,9.9,103,5.3,1476,1366,110,7.5,298,1068,78.2,1366,365,26.7,638,193,170,1714.0,103,668,residential_or_mixed
1400000US06073004000,Census Tract 40; San Diego County; California,4253,351,8.3,1309,30.8,391,29.2,3707,87.2,1183,542,294,3.57,3.67,1247,534,271,325,56563.0,79705.0,23.1,21.9,1957,172,5.6,1236,64.1,156,8.1,114,5.9,1235,1183,52,4.2,385,798,67.5,1183,87,7.4,341,451,304,1927.0,82,529,residential_or_mixed
1400000US06073004101,Census Tract 41.01; San Diego County; California,4155,301,7.2,522,12.6,316,32.1,1571,37.8,2238,373,226,1.79,2.92,475,117,96,1457,62365.0,124142.0,5.6,2.4,2403,171,4.6,2033,70.2,133,4.6,516,17.8,2339,2238,101,4.3,760,1478,66.0,2238,128,5.7,1293,719,98,1889.0,76,1027,residential_or_mixed
1400000US06073004102,Census Tract 41.02; San Diego County; California,2103,33,1.6,264,12.6,157,34.7,1150,54.7,839,140,78,2.23,3.28,396,125,42,642,76042.0,90086.0,31.5,28.9,1117,284,14.9,627,56.2,110,9.9,218,19.6,897,839,58,6.5,77,762,90.8,839,55,6.6,376,323,85,2084.0,69,389,residential_or_mixed
1400000US06073004200,Census Tract 42; San Diego County; California,5678,451,7.9,1267,22.3,716,38.2,1148,20.2,2346,743,451,2.36,3.09,1347,541,299,2744,160127.0,176027.0,3.6,0.0,3153,203,4.4,1803,53.8,110,3.3,1031,30.7,2496,2346,150,6.0,1458,888,37.9,2346,21,0.9,759,1074,492,2306.0,164,169,residential_or_mixed
1400000US06073004300,Census Tract 43; San Diego County; California,4181,178,4.3,674,16.1,570,37.3,977,23.4,1948,371,392,2.13,2.87,747,347,133,2053,121250.0,150932.0,7.5,2.2,2500,220,6.1,1481,59.7,112,4.5,581,23.4,2031,1948,83,4.1,863,1085,55.7,1948,69,3.5,772,767,340,2184.0,69,318,residential_or_mixed
1400000US06073004400,Census Tract 44; San Diego County; California,4033,247,6.1,621,15.4,554,36.2,1143,28.3,1783,322,281,2.21,2.79,604,287,91,2175,137872.0,185197.0,6.7,1.8,2363,127,3.7,1420,57.1,52,2.1,798,32.1,1884,1783,101,5.4,856,927,52.0,1783,23,1.3,791,580,389,2265.0,78,267,residential_or_mixed
1400000US06073004501,Census Tract 45.01; San Diego County; California,2631,113,4.3,207,7.9,181,33.0,1140,43.3,1541,156,182,1.68,2.46,328,78,8,1097,78021.0,92983.0,6.4,0.9,2069,76,3.1,1502,73.0,101,4.9,361,17.5,1610,1541,69,4.3,85,1456,94.5,1541,179,11.6,902,362,98,1935.0,155,588,residential_or_mixed
1400000US06073004600,Census Tract 46; San Diego County; California,2046,37,1.8,93,4.5,257,40.2,680,33.2,1093,50,172,1.81,2.46,171,56,0,721,86611.0,92187.0,10.5,6.7,1337,166,8.5,926,67.7,28,2.0,224,16.4,1186,1093,93,7.8,192,901,82.4,1093,105,9.6,613,263,112,1823.0,139,322,residential_or_mixed
1400000US06073004700,Census Tract 47; San Diego County; California,1538,9,0.6,256,16.6,169,35.8,920,59.8,716,110,94,2.12,2.86,341,161,65,348,72143.0,113004.0,15.3,14.9,915,82,6.2,609,62.3,98,10.0,37,3.8,801,716,85,10.6,193,523,73.0,716,84,11.7,359,250,23,1936.0,147,235,residential_or_mixed
1400000US06073004800,Census Tract 48; San Diego County; California,3272,172,5.3,550,16.8,651,41.0,2300,70.3,1253,285,418,2.59,3.48,648,254,105,504,61787.0,79175.0,23.9,16.8,1410,234,8.4,866,60.5,99,6.9,256,17.9,1406,1253,153,10.9,497,756,60.3,1253,159,12.7,683,248,163,1762.0,59,399,residential_or_mixed
1400000US06073004900,Census Tract 49; San Diego County; California,5366,288,5.4,1294,24.1,627,31.9,4331,80.7,1599,683,501,3.35,3.84,1300,425,230,419,52009.0,76852.0,26.0,20.8,2163,343,8.2,1026,46.4,249,11.3,395,17.9,1680,1599,81,4.8,377,1222,76.4,1599,265,16.6,637,364,333,1423.0,45,677,residential_or_mixed
1400000US06073005000,Census Tract 50; San Diego County; California,1919,175,9.1,529,27.6,192,31.7,1659,86.5,719,262,178,2.54,3.42,507,139,166,168,60750.0,67340.0,20.1,21.5,768,110,7.5,439,57.5,140,18.3,71,9.3,850,719,131,15.4,114,605,84.1,719,152,21.1,331,125,111,1405.0,41,264,residential_or_mixed
1400000US06073005101,Census Tract 51.01; San Diego County; California,3953,71,1.8,509,12.9,353,33.2,1799,45.5,1789,173,248,1.77,3.34,761,343,108,1491,91137.0,99395.0,25.3,25.5,2054,240,6.8,763,35.4,164,7.6,665,30.9,1941,1789,152,7.8,56,1733,96.9,1789,387,21.6,962,374,66,2448.0,138,687,residential_or_mixed
1400000US06073005102,Census Tract 51.02; San Diego County; California,5116,125,2.4,125,2.4,332,36.1,1317,25.7,3519,111,196,1.39,2.23,645,0,0,2706,85538.0,104101.0,20.6,9.1,3013,613,12.3,1813,53.5,255,7.5,794,23.4,3793,3519,274,7.2,785,2734,77.7,3519,875,24.9,1830,814,0,2598.0,274,1557,residential_or_mixed
1400000US06073005103,Census Tract 51.03; San Diego County; California,2980,104,3.5,406,13.6,265,44.2,1355,45.5,736,302,120,2.16,3.59,624,124,287,354,39519.0,65796.0,48.0,9.5,1025,343,12.9,356,34.4,101,9.7,138,13.3,877,736,141,16.1,45,691,93.9,736,356,48.4,250,115,15,1023.0,0,251,residential_or_mixed
1400000US06073005201,Census Tract 52.01; San Diego County; California,3503,73,2.1,334,9.5,258,34.9,819,23.4,2076,255,178,1.61,2.26,895,225,36,1494,96132.0,108775.0,17.1,17.0,2313,91,2.9,1214,47.2,60,2.3,463,18.0,2335,2076,259,11.1,199,1877,90.4,2076,279,13.4,1473,311,13,2510.0,286,639,residential_or_mixed
1400000US06073005202,Census Tract 52.02; San Diego County; California,5665,111,2.0,232,4.1,600,31.5,1294,22.8,3521,60,508,1.55,2.34,942,162,0,2497,47056.0,78550.0,31.4,21.2,2690,265,4.9,1724,53.1,326,10.0,677,20.9,3964,3521,443,11.2,188,3333,94.7,3521,1225,34.8,1641,655,0,2125.0,403,1761,residential_or_mixed
1400000US06073005301,Census Tract 53.01; San Diego County; California,3849,0,0.0,50,1.3,535,35.8,1002,26.0,2218,65,355,1.4,2.06,433,0,50,1732,78530.0,107627.0,23.0,6.2,2255,191,5.0,1344,52.5,180,7.0,608,23.7,2448,2218,230,9.4,172,2046,92.2,2218,691,31.2,1273,219,35,2546.0,189,773,residential_or_mixed
1400000US06073005302,Census Tract 53.02; San Diego County; California,4426,45,1.0,86,1.9,709,38.2,1879,42.5,1412,55,505,1.59,2.27,627,23,93,1338,79650.0,120940.0,7.5,4.8,1361,55,1.3,489,34.5,66,4.7,297,20.9,1752,1412,340,19.4,318,1094,77.5,1412,382,27.1,630,299,101,1875.0,108,288,residential_or_mixed
1400000US06073005401,Census Tract 54.01; San Diego County; California,1859,34,1.8,34,1.8,228,39.6,318,17.1,1227,27,197,1.52,2.12,82,0,0,1065,186494.0,233661.0,1.9,0.0,1517,50,2.7,567,37.2,74,4.8,689,45.2,1738,1227,511,29.4,742,485,39.5,1227,218,17.8,578,419,12,3284.0,15,72,residential_or_mixed
1400000US06073005402,Census Tract 54.02; San Diego County; California,4577,114,2.5,177,3.9,1088,45.1,393,8.6,2686,170,718,1.7,2.16,452,25,38,3101,168611.0,181271.0,10.1,3.9,2719,97,2.2,1186,39.6,170,5.7,1131,37.7,3285,2686,599,18.2,1558,1128,42.0,2686,257,9.6,1678,677,74,2773.0,63,444,residential_or_mixed
1400000US06073005403,Census Tract 54.03; San Diego County; California,2415,29,1.2,61,2.5,717,48.8,464,19.2,1547,82,471,1.56,2.2,196,0,32,1714,129185.0,164322.0,5.6,0.0,1414,84,3.6,587,39.0,90,6.0,473,31.4,2068,1547,521,25.2,750,797,51.5,1547,184,11.9,970,369,24,2410.0,100,310,residential_or_mixed
1400000US06073005500,Census Tract 55; San Diego County; California,290,19,6.6,57,19.7,6,22.2,38,13.1,14,14,0,6.36,6.36,69,38,6,44,,,0.0,0.0,35,18,7.7,34,19.8,0,0.0,0,0.0,14,14,0,0.0,0,14,100.0,14,0,0.0,0,14,0,,0,0,likely_institutional_or_group_quarters
1400000US06073005601,Census Tract 56.01; San Diego County; California,2883,80,2.8,137,4.8,684,39.0,460,16.0,1944,113,648,1.45,2.46,172,0,57,1630,58867.0,115592.0,26.6,0.0,1374,2,0.1,839,53.3,26,1.7,460,29.2,2261,1944,317,14.0,100,1844,94.9,1944,669,34.4,882,393,0,2414.0,184,558,residential_or_mixed
1400000US06073005602,Census Tract 56.02; San Diego County; California,2096,113,5.4,118,5.6,181,38.2,590,28.1,1301,65,139,1.58,2.29,281,0,0,1279,104896.0,128985.0,11.7,2.2,1386,19,1.0,668,46.9,28,2.0,586,41.1,1506,1301,205,13.6,733,568,43.7,1301,65,5.0,781,436,19,2220.0,64,274,residential_or_mixed
1400000US06073005700,Census Tract 57; San Diego County; California,2451,80,3.3,120,4.9,394,43.3,816,33.3,1017,84,230,1.42,2.5,310,34,54,928,76250.0,89250.0,35.9,0.0,1154,114,4.8,727,64.5,75,6.7,209,18.5,1032,1017,15,1.5,88,929,91.3,1017,248,24.4,513,221,35,1701.0,160,297,residential_or_mixed
1400000US06073005801,Census Tract 58.01; San Diego County; California,1913,0,0.0,54,2.8,155,35.4,537,28.1,1306,56,157,1.46,2.43,260,54,25,1165,123537.0,137554.0,8.3,6.0,1463,81,4.4,698,45.7,82,5.4,362,23.7,1500,1306,194,12.9,120,1186,90.8,1306,256,19.6,790,204,56,2671.0,79,367,residential_or_mixed
1400000US06073005802,Census Tract 58.02; San Diego County; California,2948,51,1.7,93,3.2,194,35.0,459,15.6,1905,68,177,1.55,2.36,175,39,0,2342,143750.0,156176.0,5.0,0.0,2443,74,2.6,815,32.5,9,0.4,1344,53.7,2029,1905,124,6.1,510,1395,73.2,1905,61,3.2,1356,468,20,3080.0,104,551,residential_or_mixed
1400000US06073005900,Census Tract 59; San Diego County; California,3194,85,2.7,152,4.8,600,39.3,599,18.8,2103,113,451,1.48,2.26,459,54,18,1873,82686.0,141759.0,8.0,0.0,2166,58,1.9,1235,57.6,37,1.7,584,27.2,2188,2103,85,3.9,308,1795,85.4,2103,370,17.6,1142,530,61,1984.0,154,770,residential_or_mixed
